"","singularity_MLM0","singularity_MLM1","singularity_MLM2","singularity_MLM3","singularity_MLM4","singularity_MLM5","singularity_MLM6","condition"
"1",116,2,4,26,31,148,167,1
"2",18,0,0,0,0,9,10,2
"3",0,0,0,0,0,0,0,3
"4",6,0,0,39,47,167,180,4
"5",0,0,0,0,0,4,4,5
"6",0,0,0,0,0,0,0,6
"7",0,0,0,34,40,169,173,7
"8",0,0,0,0,0,8,12,8
"9",0,0,0,0,0,0,0,9
"10",139,0,0,291,311,1000,1000,10
"11",11,0,0,145,143,1000,1000,11
"12",0,0,0,15,16,1000,1000,12
"13",9,0,0,282,297,999,998,13
"14",0,0,0,140,146,1000,1000,14
"15",0,0,0,14,14,1000,1000,15
"16",0,0,0,272,285,1000,1000,16
"17",0,0,0,147,147,1000,1000,17
"18",0,0,0,19,18,1000,1000,18
"19",127,0,0,350,368,1000,1000,19
"20",4,0,0,296,301,1000,1000,20
"21",0,0,0,194,191,1000,1000,21
"22",4,0,0,358,379,1000,1000,22
"23",0,0,0,297,307,1000,1000,23
"24",0,0,0,211,214,1000,1000,24
"25",0,0,0,362,366,1000,1000,25
"26",0,0,0,338,332,1000,1000,26
"27",0,0,0,194,198,1000,1000,27
"28",160,19,1,89,91,218,174,28
"29",14,0,0,3,1,58,20,29
"30",0,0,0,0,0,0,0,30
"31",12,5,0,80,86,220,181,31
"32",0,0,0,1,2,58,17,32
"33",0,0,0,0,0,1,0,33
"34",0,0,0,91,96,240,197,34
"35",0,0,0,3,2,61,29,35
"36",0,0,0,0,0,1,0,36
"37",136,0,0,309,313,998,994,37
"38",10,0,0,173,186,1000,1000,38
"39",0,0,0,25,24,1000,1000,39
"40",23,0,0,284,305,997,999,40
"41",0,0,0,155,161,1000,1000,41
"42",0,0,0,37,39,1000,1000,42
"43",0,0,0,257,257,998,994,43
"44",0,0,0,165,168,1000,1000,44
"45",0,0,0,30,31,1000,1000,45
"46",129,0,0,378,395,1000,1000,46
"47",12,0,0,306,305,1000,1000,47
"48",0,0,0,200,203,1000,1000,48
"49",7,0,0,373,380,1000,1000,49
"50",0,0,0,328,330,1000,1000,50
"51",0,0,0,205,205,1000,1000,51
"52",0,0,0,365,377,1000,1000,52
"53",0,0,0,317,318,1000,1000,53
"54",0,0,0,204,197,1000,1000,54
"55",151,236,84,315,312,390,172,55
"56",11,75,3,173,173,286,41,56
"57",0,4,0,32,33,162,1,57
"58",13,148,76,293,295,391,158,58
"59",0,33,0,182,178,317,36,59
"60",0,0,0,29,29,179,0,60
"61",0,0,1,319,314,409,309,61
"62",0,0,0,191,190,315,157,62
"63",0,0,0,24,24,167,21,63
"64",143,63,4,369,374,890,841,64
"65",29,0,0,292,293,994,986,65
"66",0,0,0,130,131,1000,1000,66
"67",18,0,0,367,359,893,811,67
"68",1,0,0,266,267,995,967,68
"69",0,0,0,140,141,1000,1000,69
"70",0,0,0,375,379,911,849,70
"71",0,0,0,280,277,990,985,71
"72",0,0,0,99,97,1000,1000,72
"73",157,4,0,383,382,997,998,73
"74",15,0,0,345,346,1000,1000,74
"75",0,0,0,250,248,1000,1000,75
"76",14,0,0,413,418,998,993,76
"77",0,0,0,364,360,1000,1000,77
"78",0,0,0,246,252,1000,1000,78
"79",0,0,0,402,410,1000,997,79
"80",0,0,0,369,373,1000,1000,80
"81",0,0,0,231,234,1000,1000,81
"82",139,361,286,424,417,463,166,82
"83",14,247,129,352,343,424,44,83
"84",0,83,6,207,206,334,0,84
"85",11,243,202,395,396,452,212,85
"86",0,100,70,332,335,403,68,86
"87",0,2,0,220,210,332,3,87
"88",0,17,15,420,409,450,378,88
"89",0,0,0,352,355,417,289,89
"90",0,0,0,205,204,336,125,90
"91",160,146,40,443,442,735,537,91
"92",21,17,0,368,361,878,601,92
"93",0,0,0,275,275,995,717,93
"94",17,16,3,433,429,728,500,94
"95",0,0,0,337,342,885,536,95
"96",0,0,0,275,276,996,631,96
"97",0,0,0,449,446,721,635,97
"98",0,0,0,369,370,892,797,98
"99",0,0,0,298,294,993,970,99
"100",173,42,0,435,447,946,909,100
"101",27,0,0,425,415,1000,998,101
"102",0,0,0,331,332,1000,1000,102
"103",12,0,0,425,417,942,876,103
"104",0,0,0,423,420,999,997,104
"105",0,0,0,307,308,1000,1000,105
"106",0,0,0,430,426,947,912,106
"107",0,0,0,389,383,1000,998,107
"108",0,0,0,333,336,1000,1000,108
"109",140,4,3,3,3,3,5,109
"110",16,0,0,0,0,0,0,110
"111",0,0,0,0,0,0,0,111
"112",10,3,3,2,2,2,4,112
"113",0,0,0,0,0,0,0,113
"114",0,0,0,0,0,0,0,114
"115",0,3,3,4,6,4,7,115
"116",0,0,0,0,0,0,0,116
"117",0,0,0,0,0,0,0,117
